Name,Lot No.,Kilometers,Price
Aprilla Sr150,96,15k,"Rs. 2,00,000"
Aprillia Rx 125 On Sale,2 ,1300,"Rs. 6,00,000"
Aprilia Sr150,83,23000,"Rs. 1,65,000"
Apprillia On Sale,10,6000,"Rs. 2,30,000"
Urgent Sale Aprilia 150 Racer,84,15000,"Rs. 1,80,000"
Urgent Sale Aprilia 150 Racer,84,15000,"Rs. 1,80,000"
Aprilla Scooter Fress,93,,"Rs. 2,50,000"
Aprila Race 150,47,5475,"Rs. 2,10,000"
Aprilia Storm 125,-,,"Rs. 2,44,900"
Aprilia Dorsoduro 750 Abs With Finance Facility,77,12000,"Rs. 22,50,000"
Aprilia 18lot On Sale,18,475,"Rs. 2,85,000"
Aprilia Sr 125 On Sale.,96,14000,"Rs. 1,70,000"
Daelim Classic 250,1 ,28000,"Rs. 50,000"
Daelim Classic 250,1 ,28000,"Rs. 50,000"
Aprillia Sr150,02,3500,"Rs. 2,60,000"
Aprilia Sr 150 Race On Sale,99,5k,"Rs. 2,35,000"
Aprilla Sr125,94,17000,"Rs. 1,75,000"
Aprilia Sr 150 Cc Single Hand 7500 Run Sale On Urgent,11,7500,"Rs. 2,52,000"
Aprilla Sr150 Abs On Sale Or Exchange With Bike.,5 ,8000,"Rs. 2,70,000"
Aprilia Rs 150,88,16000,"Rs. 1,90,000"
Aprilia 150,12,6500,"Rs. 2,50,000"
Aprilia Sr 150 Race Edition,4 ,8000,"Rs. 2,40,000"
Aprilia Etx 150cc,81,,"Rs. 2,20,000"
Scooter Bigrima,13,600 On,"Rs. 2,95,000"
Aprilia Sr 150,10,6000,"Rs. 2,45,000"
Aprilia 150 Sr Very Fresh Pradesh 3 02,02,8500,"Rs. 2,30,000"
Fresh Scooty On Sale.,02,9300,"Rs. 2,10,000"
Fresh Scooty On Sale.,02,9300,"Rs. 2,10,000"
Aprilia Sr 150 Race,- ,,"Rs. 3,13,900"
Aprilia Sr 150 Urgent Sale,13,2000,"Rs. 2,65,000"
One Hand 125 Sr Aprila For Sale,03,6500,"Rs. 1,67,000"
Aprilia Sr 125,- ,,"Rs. 2,50,900"
Aprilia Sr125,42,15k Ru,"Rs. 1,70,000"
Aprilia Sr 150,10,4500,"Rs. 2,60,000"
Aprilla Sr 150,7 ,11000,"Rs. 2,35,000"
Aprilla Sr 150,7 ,11000,"Rs. 2,35,000"
Aprilia Sr 150,- ,,"Rs. 2,91,900"
Aprila On Sale,18,1550km,Rs. 280
Sr 150 Race,91,20000,"Rs. 2,10,000"
Aprilia 150cc,03,5500,"Rs. 2,40,000"
Aprilia Sr150,99,,"Rs. 2,50,000"
Fresh Aprilia Urgent Sell,07,6000,"Rs. 2,40,000"
Aprilia Sr 125cc On Sale / Exchange,04,4700,"Rs. 2,00,000"
Aprilia Sr 125cc (006 Lot),06,5900,"Rs. 2,08,000"
Aprilia Sr 150 Race,6 ,,"Rs. 2,80,000"
Scooter On Sale,05,11000,"Rs. 2,65,000"
Aprilla On Sale,24,16000,"Rs. 1,80,000"
Aprillia Etx 150 Bike,67,22000,"Rs. 2,50,000"
Aprilia Sr 125,12,6500,"Rs. 2,30,000"
Aprilia Sr 125,12,6500,"Rs. 2,30,000"
Aprlila Sr 150,10,10000,"Rs. 2,25,000"
Aprill On Sell,83,,"Rs. 1,234"
Aprilia Sr 150 On Sale,02,8000,"Rs. 2,30,000"
Sr125 Scooter,42,13000,"Rs. 2,00,000"
Sr 125 On Sale,17,1000,"Rs. 2,40,000"
Aprilla Sr150,85,8000,"Rs. 2,10,000"
Aprila,33,14520,"Rs. 1,90,000"
Aprila,33,14520,"Rs. 1,90,000"
Aprilia Showroom Baglung,2,,"Rs. 2,44,900"
112 Lot Aprila Sr 125 Like Showroom Condition,12,2k,"Rs. 2,11,000"
99 Lot Sr 150 In Great Condition,99,14k,"Rs. 1,94,000"
