Name,Lot No.,Kilometers,Price
Bajaj Pulsar Dtsi 150 Cc,10,26456,"Rs. 1,50,000"
Avenger 150 Cc,79,27k,"Rs. 1,35,000"
Ns 200 85 Lot On Sale,85,20000,"Rs. 1,85,000"
Fresh Ns 200 On Urgent Sell,94,16000,"Rs. 2,25,000"
Dominar 400,83,21000,"Rs. 3,10,000"
Dominar 400,83,21000,"Rs. 3,10,000"
Pulsar 220,85,37000,"Rs. 1,80,000"
Bajaj 220 Fresh,78,,"Rs. 1,50,000"
220 Pulsar,82,44000,"Rs. 1,75,000"
Pulsar 180 On Sale,42,,"Rs. 80,000"
Bajaj Wind 125cc,3,,"Rs. 45,000"
Rs200,87,22647,"Rs. 2,20,000"
3-2-2 Bikrima,10,18000,"Rs. 2,07,000"
3-2-2 Bikrima,10,18000,"Rs. 2,07,000"
Fresh Pulsar Ns 200 - Urgent Sale,58,54741,"Rs. 1,50,000"
Rs 200 For Sale,79,26000,"Rs. 1,90,000"
Ns 200 On Sale,97,10200,"Rs. 2,35,000"
Ns 200 Black ..,85,,"Rs. 1,85,000"
Pulsar150,51,36000,"Rs. 80,000"
Ns 200 On Sale,61,18800,"Rs. 1,35,000"
Pulsar 220f (like New),49,16000,"Rs. 2,20,000"
Bajaj 220 Pulsar,58,,"Rs. 1,20,000"
92 Lot Pulsar 200 Ns,92,,"Rs. 2,20,000"
Black Rs 200,89,20500,"Rs. 2,10,000"
Benelli Tnt 135 On Sale,87,19000,"Rs. 1,10,000"
As 150 Urgent Sell,69,30000,"Rs. 67,000"
Pulsar-180,45,,"Rs. 85,000"
Pulsar-180,45,,"Rs. 85,000"
Avenger 220 (2016)model,13,30000,"Rs. 1,70,000"
Dominar 400,84,18500,"Rs. 2,66,500"
200 Ns On Sale,53,,"Rs. 1,30,000"
One Hand 150 Pulsar Bikrima,42,,"Rs. 90,000"
Rs 200,70,25000,"Rs. 1,80,000"
Pulsar 220f On Sale Or Exchange With Scooter.,94,22000.,"Rs. 2,20,000"
Bajaj Pulsar 150,83,,"Rs. 1,50,000"
Bajaj Pulsar 150,83,,"Rs. 1,50,000"
150 Pulsar,69,50000,"Rs. 1,15,000"
Pulsar Ns 200,03,33000,"Rs. 1,60,000"
Dominar On Sale,14,8500,"Rs. 4,70,000"
Pulsar Ns 200,04,13641,"Rs. 2,45,000"
Pulsar 220 82,82,No Ide,"Rs. 1,79,000"
Bajaj Avenger,80,24000,"Rs. 1,49,000"
"Hire For Bike,pulsar 180",25,50.000,"Rs. 20,000"
Pulsar 220,28,37000,"Rs. 1,30,000"
Pulsar 200 Ns,78,,"Rs. 1,49,000"
Ns 200,63,30000,"Rs. 1,50,000"
Ns 200 Sell,01,19000,"Rs. 2,45,000"
Pulsar As 150,70,25000,"Rs. 1,25,000"
Ns 200 53,53,No Ide,"Rs. 1,12,000"
Ns 200 53,53,No Ide,"Rs. 1,12,000"
Bike Urgent Sale,53,40000,"Rs. 1,30,000"
Ns 200 On Sale,16,1500,"Rs. 3,40,000"
Ns 200,14,58000,"Rs. 1,10,000"
Bajaj Pulsar 220,40,48000,"Rs. 95,000"
Pulsar 220 On Sale,66,35000,"Rs. 1,37,000"
Pulsar 150,56,,"Rs. 80,000"
Ns 200,83,32k,"Rs. 1,95,000"
Ns 200,83,32k,"Rs. 1,95,000"
Pulsar As 150,72,28849,"Rs. 1,10,000"
220f Pulsar Bike On Sale,60,61000,"Rs. 1,45,000"
As200 Bajaj Bike On Sale,85,29600,"Rs. 1,40,000"
Pulsar 220 On Sale,74,,"Rs. 1,60,000"
Pulsar 220 Abs For Sell,19,800,"Rs. 3,25,000"
Sell,03,25000,"Rs. 1,30,000"
Bajaj Pulsar 125,Na,,"Rs. 2,26,900"
Pulsar 220 Single Hand Exellent,11,8000,"Rs. 2,75,000"
Pulsar Bike 2020 Sale,73,,"Rs. 1,60,000"
Pulsar 220,17,,"Rs. 1,00,000"
Pulsar 150,53,90000,"Rs. 87,000"
As 150 On Sale,72,29000,"Rs. 1,05,000"
Pulsar 150,84,23200,"Rs. 1,60,000"
Pulsar 150,84,23200,"Rs. 1,60,000"
Motorcycle,10,24000,"Rs. 1,95,000"
Avenger 150 Street,80,No Ide,"Rs. 1,45,000"
Ns 200,89,,"Rs. 1,75,000"
Pulsar 220f,09,8000,"Rs. 2,60,000"
Bajaj Pulsar 150 Td,- ,,"Rs. 2,71,900"
Ns 200 Fi With Abs,12,2500,"Rs. 3,45,000"
Ns200,88,,"Rs. 2,10,000"
Ns200,88,,"Rs. 2,10,000"
