Name,Lot No.,Kilometers,Price
Benelli Tnt 600i (abs),87,22000,"Rs. 12,90,000"
Benelli Tnt25,78,16000,"Rs. 2,85,000"
Benelli 135 On Sale Or Exchange Wit Scooter,87,23000,"Rs. 1,50,000"
Benelli Tnt 300 On Sell,74,29000,"Rs. 4,20,000"
Benelli Trk 251,58,8000,"Rs. 4,75,000"
Benelli Trk 251,58,8000,"Rs. 4,75,000"
Benelli Trk 251,7 ,9000,"Rs. 5,40,000"
Leoncino 500,82,5000,"Rs. 10,60,000"
Benelli 302r,90,8000,"Rs. 5,90,000"
Benelli 302s (abs) For Sale,2 ,"7,000","Rs. 7,00,000"
Benelli Tnt300 For Sale,84,11500,"Rs. 5,00,000"
Benelli Trk 251,1 ,15000,"Rs. 5,20,000"
Benelli Tnt 300,13,11900,"Rs. 4,80,000"
Benelli Tnt 300,13,11900,"Rs. 4,80,000"
Tnt 25 Benelli,82,19000,"Rs. 2,20,000"
Benelli 300,80,22000,"Rs. 4,25,000"
Tnt Benelli 300,13,16600,"Rs. 4,90,000"
Benelli 300. Abs,96,13000,"Rs. 5,90,000"
Benelli Tnt 135 Beneli,87,,"Rs. 1,60,000"
Benelli 250,78,17400,"Rs. 2,50,000"
Benelli 300 With Ixil 55,75,8000,"Rs. 6,00,000"
Benelli 302r On Sale,37,8833,"Rs. 6,00,000"
Benelli 150 Hurry Up Its Urgent,Ne,8k,"Rs. 2,65,000"
Benelli Tnt 300 On Sell,86,14700,"Rs. 5,00,000"
Benelli Tnt 300 90lot Red Color For Urgent Sale,90,12000,"Rs. 5,25,000"
Benelli 302s,00,10000,"Rs. 7,50,000"
Benelli 302r,90,,"Rs. 5,40,000"
Benelli 302r,90,,"Rs. 5,40,000"
Benelli Tnt 25 On Sale,82,18500,"Rs. 3,00,000"
Benelli 150i Tnt Fresh Like New,15,3200,"Rs. 2,70,000"
Benelli Tnt135,07,9000,"Rs. 2,10,000"
Benelli 300 Exchange Also Available,90,8000,"Rs. 6,00,000"
Urgent Sale Benelli 150i,08,5000,"Rs. 2,10,000"
Benelli,02,4832,"Rs. 2,00,000"
Benelli Tnt 300 Motorcycle For Sale,92,5600,"Rs. 6,25,000"
Benelli Tnt 300 Motorcycle For Sale,92,5600,"Rs. 6,25,000"
Urgent Sell Benelli 302r 92lot,92,15000,"Rs. 6,10,000"
Fresh One Hand Benelli For Sale,04,9000,"Rs. 1,80,000"
Benelli Tnt 25,82,12300,"Rs. 2,80,000"
Benelli 302r,92,8000,"Rs. 6,50,000"
Benelli Tornado 302r Bike On Urgent Sale,92,23602,"Rs. 5,50,000"
Benelli 150i Glass Coated,05,12000,"Rs. 2,45,000"
Benelli Tnt 15,8 ,3999,"Rs. 1,95,000"
Benelli Tnt 300 | 300 Cc | 86 Lot,86,21155,"Rs. 4,35,000"
Benelli Tnt 300,13,12000,"Rs. 4,85,000"
Benelli Tnt 300 Abs 90 Lot For Urgent Sale,90,12000,"Rs. 5,29,999"
Benelli Tnt 300cc (72 Lot),72,24500,"Rs. 3,78,000"
Benelli Tnt300,99,8k,"Rs. 6,45,000"
250nk Sale / Exchange,05,6k,"Rs. 4,20,000"
250nk Sale / Exchange,05,6k,"Rs. 4,20,000"
Benelli Tnt 300 With Akrapovic Exhaust.,96,9000,"Rs. 6,15,000"
Benelli 302r (018 Lot Anchalikaran),01,18700,"Rs. 4,78,000"
Benelli Tnt 300,73,18500,"Rs. 4,30,000"
Benelli Tnt300,92,6000km,"Rs. 5,50,000"
Benelli Trk 251,Na,,"Rs. 6,30,000"
Benelli Tnt 25 For Sale,82,25000,"Rs. 2,20,000"
Benelli 302r Red,92,20000,"Rs. 4,90,000"
Benelli 302r Red,92,20000,"Rs. 4,90,000"
Benelli Tnt 300,75,25000,"Rs. 5,20,000"
Benelli Tnt 150i,11,1399,"Rs. 2,85,000"
Benelli Tnt 300 For Sale,99,8000,"Rs. 6,60,000"
Benelli 302r In Very Good Condition (8852 Km),92,8852,"Rs. 6,00,000"
Benelli Tnt 135,,,"Rs. 2,75,000"
Beneli Tnt 300,80,8000,"Rs. 5,10,000"
Bike For Sale,74,23000,"Rs. 4,00,000"
Benelli Tnt300 On Sale,78,,"Rs. 3,80,000"
Benelli Tnt 300,39,23000,"Rs. 4,60,000"
Benelli 300,74,9000,"Rs. 5,00,000"
92 Lot Benelli 300 For Sell Jast Run 10300,92,10300,"Rs. 5,35,000"
Benelli Tnt 300 Only 11k Km Done,90,11k,"Rs. 5,90,000"
Benelli Tnt 15,09,7500,"Rs. 1,90,000"
Benelli Tnt 15,09,7500,"Rs. 1,90,000"
Benelli Urgent Sale,17,11k,"Rs. 5,25,000"
Benelli Bn251,Na,2100,"Rs. 4,50,000"
Freshh Benelli 150i On Sale,Pr,9000,"Rs. 2,50,000"
92 Lot Ko Benelli 302 R Single Handed Super Fresh Bike On Sale,92,13000,"Rs. 4,99,000"
Benelli Tnt 300 Abs 92 Lot.,43,14000,"Rs. 5,50,000"
Beneli Tnt 150i,15,125,"Rs. 3,10,000"
Benelli Tnt 15,Na,,"Rs. 2,30,000"
Benelli Tnt 15,Na,,"Rs. 2,30,000"
Benelli Tnt 300 Fresh Bike,95,17000,"Rs. 5,75,000"
Beneli 150i Fi,15,4000,"Rs. 2,85,000"
Benelli Tnt 600 I,Na,,"Rs. 20,00,000"
Benelli Tnt 150 I,Na,,"Rs. 3,15,000"
Benelli Leoncino 251,Na,,"Rs. 6,30,000"
Beneli,90,14000,"Rs. 6,05,000"
Trk 251 For Sale!,09,7000,"Rs. 5,50,000"
Benelli Tnt 300 Fresh,86,,"Rs. 4,80,000"
Benelli 300 Urgent Sale,16,8800,"Rs. 6,50,000"
Modified Benelli 302r,53,12000,"Rs. 5,75,000"
Benelli Tnt300 For Sale,80,13k+,"Rs. 4,85,000"
Benelli Tnt 300 Green Color Ceramic Coated,80,25000,"Rs. 4,10,000"
Benelli Zenzero 150,82,16000,"Rs. 1,20,000"
Benelli Zenzero 150,82,16000,"Rs. 1,20,000"
Tnt 150i Black,06,13100,"Rs. 2,45,000"
Benelli Tnt 300 For Sale!,75,,"Rs. 6,00,000"
Benelli Tnt 15,15,2000,"Rs. 2,10,000"
Benelli 300,80,23000,"Rs. 3,98,000"
Benelli Trk 502,,,"Rs. 17,00,000"
Benelli Tnt 300 Very Fresh,80,17000,"Rs. 4,45,000"
Benelli 302r,,,"Rs. 8,50,000"
Benelli 302r,,,"Rs. 8,50,000"
Benelli 300,51,1200,"Rs. 6,60,000"
Beneli Tnt 150i On Sale,01,7000,"Rs. 2,90,000"
Benelli Tnt 25 For Sale,82,18k+,"Rs. 2,30,000"
Benelli 300,92,15000,"Rs. 6,00,000"
Benelli Tnt 150 Urgent Sale,3 ,7000,"Rs. 2,65,000"
Beneli 150i,10,10500,"Rs. 2,60,000"
Benelli Leoncino 500,Na,,"Rs. 13,00,000"
Benelli 011 Lot,11,8000,"Rs. 2,45,000"
Benelli 150i On Sale,11,7100,"Rs. 2,40,099"
Benelli Bn 251,Na,,"Rs. 5,20,000"
Bevelling Tnt25 For Sell,78,21000,"Rs. 2,50,000"
Benelli 302s On Sale,00,12300,"Rs. 7,50,000"
Benelli Tnt 302r With Festival Offers & Heavy Discount,99,1,"Rs. 7,20,000"
Benelli Tnt 302r With Festival Offers & Heavy Discount,99,1,"Rs. 7,20,000"
Benelli Tnt 150i On Sale. (urgent Sale),08,9000,"Rs. 2,30,000"
Benelli Tnt 150,- ,1,"Rs. 2,37,500"
Beneli Tnt 300 Lot 80 Sale N Xchange,80,,"Rs. 4,10,000"
Benelli Tnt 300 For Sale,75,22000,"Rs. 4,40,000"
Benelli 302r,09,5565,"Rs. 6,00,000"
Like New Benelli 302r 92 Lot 2017 Model,92,12000,"Rs. 4,99,000"
Benelli Tnt 150i,- ,1,"Rs. 3,15,000"
Benelli Tnt 150i,- ,1,"Rs. 3,15,000"
Fresh Benelli Tnt 300 Abs 92 Lot,92,16000,"Rs. 5,85,000"
Tnt 135 Big Benelli Offer/exchange Also,10,1,"Rs. 2,40,000"
Benelli 135,93,7000,"Rs. 1,40,000"
Benelli Tnt 135,01,,"Rs. 2,73,000"
"Benelli Tnt 135 Black With Only 8,000 Km Run",93,8000,"Rs. 1,75,000"
Benelli Tnt 150i,01,,"Rs. 3,13,000"
Benelli Festival Offers,01,1,"Rs. 3,15,000"
Benelli 75 Lot,75,,"Rs. 2,10,000"
Benelli Tnt 150i On Sell,08,5000,"Rs. 2,80,000"
Benelli Tnt 250cc 82 Lot,82,,"Rs. 3,10,000"
Benelli 135,95,12000,"Rs. 1,70,000"
