Name,Lot No.,Kilometers,Price
Nk 400 Very Fresh For Sale Or Exchange With Dirt Bike,09,7000,"Rs. 5,40,000"
Cfmoto St. Papio,99,,"Rs. 2,41,500"
Nk150 One Hand On Sell,88,15000,"Rs. 1,75,000"
Cf Moto Nk 250,02,8000,"Rs. 3,95,000"
On Sell,03,17000,"Rs. 1,90,000"
On Sell,03,17000,"Rs. 1,90,000"
Cf Moto Nk 250,98,,"Rs. 4,20,000"
Cf Moto 150nk On Sale,91,11900,"Rs. 1,85,000"
Bike On Sale,03,6800,"Rs. 2,50,000"
Cfmoto 250nk,99,,"Rs. 5,25,500"
Cf Moto Nk 400,94,12000,"Rs. 6,10,000"
Cfmoto 150nk,10,,"Rs. 3,21,500"
150 Td Exchange,06,5200,"Rs. 2,20,000"
150 Td Exchange,06,5200,"Rs. 2,20,000"
Cfmoto 150 Nk 2019,05,3500,"Rs. 2,10,000"
Nk 150 On Sale,94,12500,"Rs. 2,50,000"
Cfmoto 400nk,10,,"Rs. 8,41,500"
Nk 250,18,14000,"Rs. 3,50,000"
Nk 150,02,2000,"Rs. 3,18,000"
Cfmoto 650nk,10,,"Rs. 15,50,000"
Cfmoto 250 For Sell,3 ,5800,"Rs. 4,20,000"
Nk 400 Cf Moto,91,12060,"Rs. 4,90,000"
Cfmoto On Sale,93,4000,"Rs. 5,75,000"
Nk 250 113lot 4000km Brand New Condition,13,4000,"Rs. 4,20,000"
Nk Cfmoto 150,00,9543,"Rs. 2,35,000"
Cf Moto 113 Lot Nk 250 On Sell,13,7400,"Rs. 3,99,999"
Cfmoto 650mt,10,,"Rs. 17,50,000"
Cfmoto 650mt,10,,"Rs. 17,50,000"
250nk Excellent Brand New Condition,97,16k,"Rs. 3,90,000"
Urgent Sell Nk250,96,11000,"Rs. 3,40,000"
Cf Moto Nk 250,5 ,"13,000","Rs. 4,20,000"
Cfmoto Nk400,91,9800,"Rs. 4,80,000"
Nk250 Exchange With Benelli 300 Only,97,,"Rs. 3,80,000"
250nk Cf Moto,99,7772,"Rs. 4,15,000"
Cf Moto 150nk,94,23000,"Rs. 2,05,000"
Cf Moto 150nk,94,23000,"Rs. 2,05,000"
250nk On Sale Or Exchange With Re,13,12500,"Rs. 3,40,000"
New Nk 250 On Sale,11,3000,"Rs. 4,50,000"
Nk 250,99,7800,"Rs. 3,80,000"
Cfmoto 150 Nk Bike On Sale,-,,"Rs. 3,00,000"
113 Lot Nk Cf Moto 250cc On Sell Or Xchange,13,7000,"Rs. 4,40,000"
Cf Moto Nk,94,16000,"Rs. 2,10,000"
Cf-moto Nk-250,02,8600,"Rs. 4,65,000"
