Name,Lot No.,Kilometers,Price
Lemoto Lrf 250,94,15000,"Rs. 3,70,000"
Bse Dirt Bike On Urgent Sell,82,230,"Rs. 1,90,000"
Cross Fire,61,17000,"Rs. 2,10,000"
Crossfire Rm250 On Sell,13,5300,"Rs. 5,50,000"
Brand New Italijet Classic 125 Scooter,99,,"Rs. 1,99,000"
Brand New Italijet Classic 125 Scooter,99,,"Rs. 1,99,000"
Crossfire Zx250rr Urgent Sell,91,18000,"Rs. 3,80,000"
Crossfire 63 Lot,63,,"Rs. 2,40,000"
Xz250rr On Sale,90,11000,"Rs. 3,90,000"
Bike On Sell Twings Crossfire,98,9000,"Rs. 3,50,000"
Crossfire Xz 250rr. 83lot.,83,35000,"Rs. 2,60,000"
Crossfire Gr7,6 ,2200,"Rs. 4,50,000"
Cf On Urgent Sell And Exchanged,96,14568,"Rs. 3,80,000"
Cf On Urgent Sell And Exchanged,96,14568,"Rs. 3,80,000"
Bse Sale,70,,"Rs. 2,00,000"
Cross Fire Urjent Sell,86,15000,"Rs. 36,00,000"
Crossfire Xz 250 Rr,92,11208,"Rs. 4,10,000"
Crossfire Rm 250 Twin,Na,,"Rs. 6,70,000"
Argent Sales,97,10000,"Rs. 4,60,000"
Rm 250 On Urgent Sale,13,4673,"Rs. 5,70,000"
Crossfire Zx250rr,71,20000,"Rs. 2,90,000"
Italjet 250i Sale Or Xchange,13,,"Rs. 3,20,000"
Urgent Sell,97,,"Rs. 3,90,000"
Bike For Sell,02,5000,"Rs. 4,80,000"
Cross Fire Gr7 In A Sell,70,7000,"Rs. 4,00,000"
Crossfire Gr7(motard)on Sale Nd Exchange,10,3120,"Rs. 4,70,000"
Crossfire On Sell.,81,3500,"Rs. 5,50,000"
Crossfire On Sell.,81,3500,"Rs. 5,50,000"
Urgent Sale Crossfire,91,11k,"Rs. 3,85,000"
Rm250,03,,"Rs. 5,50,000"
Italica Formula 150 On Sale Brand New Condition,15,1800,"Rs. 2,80,000"
Crossfire Gr7,00,10000,"Rs. 4,44,000"
Crossfire Rm250 On Sale,13,9000,"Rs. 5,40,000"
Crossfire Xz 250rr,76,10000,"Rs. 4,50,000"
Bike On Shell,87,5000,"Rs. 4,80,000"
Bike On Shell,87,5000,"Rs. 4,80,000"
