Name,Lot No.,Kilometers,Price
Cross X 250r,02,2000,"Rs. 4,85,000"
Crossx On Sale,41,11567,"Rs. 6,00,000"
Cx 250 R,99,7200,"Rs. 4,80,000"
Crossx250se White On Sell,75,,"Rs. 3,80,000"
Crossx250se,75,14000,"Rs. 4,50,000"
Crossx250se,75,14000,"Rs. 4,50,000"
Cross X 2018,38,16000,"Rs. 3,90,000"
Cross X 250 Se,95,11000,"Rs. 6,00,000"
Dirt Full Fresh Bike,13,6000,"Rs. 3,30,000"
Cx250 Bike On Sale,16,1700,"Rs. 5,90,000"
Cross X 250 Se,83,10000,"Rs. 4,50,000"
Cross X 250se,83,16000,"Rs. 4,50,000"
Cross X Se 250 Sell/exchange,83,11000,"Rs. 3,50,000"
Cross X Se 250 Sell/exchange,83,11000,"Rs. 3,50,000"
Crossx Se 250,91,,"Rs. 5,30,000"
Crossx 250 R Urgent Sale,45,15000,"Rs. 4,30,000"
Cx 250 Dirt,83,12000,"Rs. 4,00,000"
Offer Cross X Se 2018model,93,9400,"Rs. 4,30,000"
Cross X,50,19000,"Rs. 3,50,000"
Cx 250 Se,83,,"Rs. 4,50,000"
Cx On Sell,14,,"Rs. 3,80,000"
Cx 250,91,12,"Rs. 4,70,000"
Cross X 250se 83lot Fresh With Acrbis Tank,83,13000,"Rs. 4,40,000"
