Name,Lot No.,Kilometers,Price
9841011180,27,410520,"Rs. 80,000"
Gn Model Hartford Bike Bikrimaa,10,,"Rs. 60,000"
Urgent Bike Sale Within 1 Month Vr 223 Cc (hartford),99,8000,"Rs. 3,50,000"
150 Hardford Vr Bike Urjent Bikrima Xa Condition Ak Dam Fresh Xa,38,35000,"Rs. 1,15,000"
Hartford 150,10,,"Rs. 75,000"
Hartford 150,10,,"Rs. 75,000"
Hardford Vr Bike On Sale,62,,"Rs. 1,45,000"
Hartford Vr 220h,18,,"Rs. 5,85,000"
Vr 150,54,40000,"Rs. 1,75,000"
Hartford Vr 150h,18,,"Rs. 4,65,000"
Vr 223 Bike On Sell,1 ,7911,"Rs. 2,90,000"
Vr 200,62,33000,"Rs. 3,00,000"
Vr,46,67000,"Rs. 1,28,999"
Vr,46,67000,"Rs. 1,28,999"
Hartford Bike On Urjent Sale,11,28000,"Rs. 65,000"
Vr 200cc Bike On Sale,51,50+,"Rs. 1,85,000"
Vr Urgent Sell Ma Xa Lini Vaya Call Me 9861776884,37,44000,"Rs. 1,10,000"
Vr 150 (1lakh),25,65000,"Rs. 1,00,000"
Vr 250,97,7000,"Rs. 3,45,000"
Vr 200,57,,"Rs. 1,80,000"
"Vr Bike Urgent Sale 150cc 33lot, Vr Bike Great Condition, Dirt Bike Vr",33,,"Rs. 1,15,000"
Vr 150,9 ,,"Rs. 1,50,000"
Vr Bike,33,,"Rs. 1,35,000"
Vr Bike 223cc Sale,13,20000,"Rs. 2,60,000"
New Vr Hardford,98,8100,"Rs. 3,50,000"
Takken 250 On Sale,13,,"Rs. 3,35,000"
Vr 220 On Sale Pokhara,18,2700,"Rs. 4,40,000"
Vr 220 On Sale Pokhara,18,2700,"Rs. 4,40,000"
Vr 150 Bike For Urgent Sale,37,54,"Rs. 1,50,000"
Vr 200,38,35000,"Rs. 1,70,000"
Vr 223 Cc On Sale Or Exchange,95,20000,"Rs. 2,45,000"
Vr On Sell 2018,96,4500,"Rs. 3,60,000"
Vr 150,7,,"Rs. 1,45,000"
Vr 150 On Sale,47,,"Rs. 1,30,000"
Hartford Vr 150,13,19000,"Rs. 2,30,000"
Hartford Vr 150,13,19000,"Rs. 2,30,000"
Vr 150 Urgent Sale,9 ,,"Rs. 2,80,000"
Hartford Vr 150cc (75 Lot),75,21700,"Rs. 1,58,000"
Vr Bike Sell,44,,"Rs. 1,50,000"
Hartford Vr 150,43,,"Rs. 2,00,000"
Vr 150 On Sale Fully Fresh,29,44000,"Rs. 1,35,000"
Vr 200,43,,"Rs. 2,00,000"
Hartford Vr 150,7 ,,"Rs. 1,00,000"
Vr On Sale 150 Cc Sale Exchange,15,,"Rs. 1,00,000"
Fresh Vr150h Sale,61,15000,"Rs. 2,10,000"
Vr 150,15,000005,"Rs. 85,000"
