Name,Lot No.,Kilometers,Price
Cg 125,03,,"Rs. 1,00,000"
85 Lot Aviator Scooter On Sale,85,,"Rs. 1,30,000"
Honda Dio On Sale,9 ,,"Rs. 95,000"
Dio 2018,10,7760,"Rs. 1,75,000"
Honda Cg 125( Retro Classic),7 ,51k,"Rs. 1,55,000"
Honda Cg 125( Retro Classic),7 ,51k,"Rs. 1,55,000"
Honada Xr 150,68,,"Rs. 2,60,000"
Honda Aviator 59lot Like New,59,,"Rs. 90,000"
Dio Scotty Scooter 45 Lot Birgunj,45,3000,"Rs. 50,000"
Cbr 250,52,40000+,"Rs. 2,05,000"
Crf For Sale,90,14200,"Rs. 10,30,000"
Honda Cg125,2 ,600k,"Rs. 65,000"
Honda Xr250 Tornado Very Good Condition,42,47000,"Rs. 5,50,000"
Honda Xr250 Tornado Very Good Condition,42,47000,"Rs. 5,50,000"
Honda Cb750 1984,1 ,30000,"Rs. 8,50,000"
Honda Shine Dis Brek 125 Good Pickup Fresh,33,,"Rs. 55,000"
Honda Shine Bike 2010,15,,"Rs. 50,000"
Socctor,44,62000,"Rs. 70,000"
Honda Cb Trigger 63 Lot On Sale,63,,"Rs. 1,10,000"
Condition Ko Bike Bikri Ma.,8 ,41000,"Rs. 65,000"
Scooter,90,12500,"Rs. 1,49,000"
Modified Honda Xr On Sale,61,41000,"Rs. 1,70,000"
Unicorn,45,45000,"Rs. 72,000"
"Looking For Scootie, Preferably Honda Dio, Suzuki Access,",99,,"Rs. 80,000"
Honda Hornet 600 Superbike,39,2000,"Rs. 15,50,000"
53 Lot Fresh Dio Scooty,53,28,"Rs. 85,000"
Honda Xr On Sale,85,N/a,"Rs. 2,50,000"
Honda Xr On Sale,85,N/a,"Rs. 2,50,000"
Honda Dio On Sale,98,,"Rs. 1,65,000"
Dio Scooter,53,28000,"Rs. 85,000"
Japanease Honda Xl Bike On Sell,2 ,,"Rs. 1,50,000"
Honda Xr200,28,40000,"Rs. 3,50,000"
Honda Aviator On Sale,62,25000,"Rs. 90,000"
Scooter On Sale,70,,"Rs. 1,10,000"
Honda Dio Moto Scooter,83,,"Rs. 1,45,000"
Honda Dio Moto Scooter,83,,"Rs. 1,45,000"
Honda Dio,52,38000,"Rs. 85,000"
Honda Aviator Scooter,86,,"Rs. 1,40,000"
Matte Black Dio On Sale (pokhara),10,27000,"Rs. 1,05,000"
Rfvc Xl 350r On Sale,2 ,,"Rs. 4,50,000"
Xr 190l (2020) On Sale,16,700,"Rs. 5,99,999"
Honda Dio,73,20645,"Rs. 1,17,000"
Cbr250r Combo Abs In A Good Condition,60,40k+,"Rs. 3,00,000"
Honda Aviator,77,20900,"Rs. 1,30,000"
50 Lot Dio Scotter On Sale,50,,"Rs. 42,000"
Xr 190,95,14000,"Rs. 4,75,000"
Cbr 250 R,68,36000,"Rs. 2,50,000"
Honda Bike,65,,"Rs. 80,000"
Dio Scooter Of 81 Lot On Urgent Sell,81,20000,"Rs. 1,35,000"
Dio Scooter Of 81 Lot On Urgent Sell,81,20000,"Rs. 1,35,000"
Honda Dio,04,7000,"Rs. 1,69,000"
Honda Crf 250l On Sale,82,24000,"Rs. 9,60,000"
Honda Bike On Sale,61,20000,"Rs. 2,80,000"
Dio,64,23500,"Rs. 95,000"
Cbz Xtreme,29,,"Rs. 50,000"
Dio Scooter Like New Lot 87,87,,"Rs. 1,45,000"
Honda Dio (64 Lot Yellow And Grey),64,19800,"Rs. 98,000"
Honda Dio (64 Lot Yellow And Grey),64,19800,"Rs. 98,000"
Aviator 37 Lot,37,No Ide,"Rs. 59,000"
Unicorn,61,,"Rs. 90,000"
Honda Shine,73,,"Rs. 1,27,000"
Cbr 250r,63,30000,"Rs. 3,10,000"
Dio On Sale,74,18756,"Rs. 1,15,000"
Fresh 103 Lot Hond Hornet On Sale.,03,13000,"Rs. 2,27,000"
Honda Aviator,62,18000,"Rs. 99,000"
Honda Grazia,51,4000,"Rs. 1,70,000"
Xr 125,64,60000,"Rs. 1,90,000"
Xr150,78,16850,"Rs. 2,70,000"
Honda Hornet,75,,"Rs. 1,10,000"
Honda Hornet 160 For Sale,99,8000,"Rs. 2,50,000"
Honda Avaitor,10,14000,"Rs. 1,35,000"
Honda Avaitor,10,14000,"Rs. 1,35,000"
Hero Splender Nxg,39,,"Rs. 59,000"
Fresh Scoty 70 Lot,70,27500,"Rs. 1,10,000"
90 Lot Aviator On Sale,90,,"Rs. 1,35,000"
Like Brand New Honda Cb Shine,03,14300,"Rs. 1,80,000"
Honda Xr 150,73,21000,"Rs. 3,40,000"
Honda Cbr250r For Sale,66,23500,"Rs. 3,30,000"
Urgent Sell Dio Scooty,47,49000,"Rs. 77,000"
Urgent Sell Dio Scooty,47,49000,"Rs. 77,000"
Dio N,68,29000,"Rs. 1,05,000"
Dio 66,66,No Ide,"Rs. 1,05,000"
81 Lot Dio On Sale,81,25000,"Rs. 1,30,000"
Cb Honda Trriger,61,,"Rs. 75,000"
Honda Twister 2013,57,30000,"Rs. 75,000"
Honda Dio Dlx,- ,,"Rs. 2,12,900"
Honda Dio (67 Lot),67,17300,"Rs. 98,000"
Honda Unicorn 150cc Bike,41,37400,"Rs. 89,000"
Honda Dio,76,12000,"Rs. 1,25,000"
Dio Scooter 61 Lot,61,19000,"Rs. 90,000"
Honda Aviator,07,5000,"Rs. 1,85,000"
Honda Xlr 200,6 ,62000,"Rs. 5,10,000"
Cbr 250 On Sell,48,,"Rs. 2,05,000"
Cbr 250 On Sell,48,,"Rs. 2,05,000"
Crf,82,29000,"Rs. 8,90,000"
Hunk Honda,38,,"Rs. 55,000"
Unicorn 150,34,67000,"Rs. 70,000"
Xr150 Sale,06,8500,"Rs. 4,30,000"
Aviator Scooter,11,,"Rs. 1,85,000"
