Name,Lot No.,Kilometers,Price
Duke 250,02,9600,"Rs. 4,95,000"
1 Pic Duke 200 On Sell,25,27000,"Rs. 2,82,000"
Ktm Duke 200,77,20000,"Rs. 2,65,000"
Duke 250 On Sale,97,9800,"Rs. 4,25,000"
Ktm Duke 250,30,14000,"Rs. 3,40,000"
Ktm Duke 250,30,14000,"Rs. 3,40,000"
Like New Ktm Duke 390 Showroom Condition New Model Motorcycle On Sale,86,22000,"Rs. 5,15,000"
Ktm Rc 200 Abs 13 Lot,13,1500,"Rs. 5,90,000"
Ktm Duke 200 On Sale!,58,31000,"Rs. 2,00,000"
Rc 390,70,No Ide,"Rs. 2,50,000"
Ktm Duke 250,85,16800,"Rs. 3,85,000"
Ktm Duke 200 Urgent Sell,51,51000,"Rs. 2,10,000"
Ktm Duke 390,13,18500,"Rs. 5,50,000"
Ktm Duke 390,13,18500,"Rs. 5,50,000"
Emrgency Duke Bikrima,86,15300,"Rs. 3,65,000"
Ktm Duke 250,86,16500,"Rs. 3,80,000"
Duke 200 On Sale,82,25000,"Rs. 3,00,000"
Ktm Duke,7 ,40000,"Rs. 1,85,000"
Duke 200,68,21500,"Rs. 2,60,000"
Ktm 200,81,12800,"Rs. 2,85,000"
Duke 200 On Sale,69,26000,"Rs. 2,60,000"
Rc 200 79 Lot,79,30000,"Rs. 3,05,000"
Ktm Rc 200,91,16000,"Rs. 3,30,000"
Ktm Duke 390,69,24500,"Rs. 3,35,000"
Duke 200 99 Lot,99,10500,"Rs. 4,00,000"
Ktm Rc 200,84,14800,"Rs. 3,80,000"
Fresh Ktm Duke 250 On Sale,16,18000,"Rs. 3,95,000"
Fresh Ktm Duke 250 On Sale,16,18000,"Rs. 3,95,000"
Ktm Duke 200,70,30000,"Rs. 2,30,000"
Butter Condition Ktm 200 On Sale,70,"26,500","Rs. 2,60,000"
Duke 200 Urgent Sell,11,23000,"Rs. 2,50,000"
Rc 200 2016,73,27000,"Rs. 2,70,000"
Duke 250 Urgent Sale,15,10000,"Rs. 4,10,000"
Ktm Duke 125 Abs,Na,,"Rs. 4,49,900"
Rc390cc Like New 27000km Run 73 Lot,73,27000,"Rs. 2,68,000"
Rc390cc Like New 27000km Run 73 Lot,73,27000,"Rs. 2,68,000"
Ktm Duke 200 On Sale,84,17000,"Rs. 3,40,000"
Ktm Duke 200 Abs,Na,,"Rs. 5,39,900"
Ktm Rc 200,11,4000,"Rs. 5,45,000"
Ktm 250 On Sale,10,1900,"Rs. 5,75,000"
