Name,Lot No.,Kilometers,Price
Totally New Scooter On Sale/exchange,44,35k Ex,"Rs. 75,000"
Rodeo Scooty On Sale,62,25661,"Rs. 65,00,000"
50 Lot Mahindra Scooter,50,30000,"Rs. 55,000"
Rodeo Scotty,5 ,13000,"Rs. 65,000"
Mahindra Mojo,- ,,"Rs. 5,80,000"
Mahindra Mojo,- ,,"Rs. 5,80,000"
Pantero 56,56,No Ide,"Rs. 69,000"
Scooter For Sale,79,20500,"Rs. 90,000"
Scooter On Sale,65,17369,"Rs. 74,999"
Mahindra Flite Scooty,41,31405,"Rs. 45,000"
Pickup Hero Rodeo,44,,"Rs. 30,000"
Scoty,47,18000,"Rs. 55,000"
Pickup 1 Year Used 2016 Model Mahindra Bolero 4 Wheeler Pickup,16,,"Rs. 15,75,000"
Pickup 1 Year Used 2016 Model Mahindra Bolero 4 Wheeler Pickup,16,,"Rs. 15,75,000"
Mahindra Gusto Scooter,65,,"Rs. 85,000"
Mahindra Centuro 71,71,No Ide,"Rs. 85,000"
Fresh Mahendra Rodeo For Sell,49,18000,"Rs. 60,000"
Gusto 125cc,14,24000,"Rs. 1,10,000"
Mahindra Gusto,22,23000,"Rs. 75,000"
Mahindra Rodeo Scooter For Sale,55,26948,"Rs. 70,000"
Rodeo Rz Scooty On Sale,54,,"Rs. 58,000"
Scooter Need On Budzet Range 50/60 Thausand,64,,"Rs. 50,000"
Mahindra Gusto 125,-,,"Rs. 2,02,500"
Mahindra Rodeo,14,18000,"Rs. 60,000"
Mahindra Gusto Rs,--,,"Rs. 1,79,500"
Mahindra Gusto 125 98 Lot,98,,"Rs. 1,40,000"
Mahindra Centuro,82,,"Rs. 80,000"
Mahindra Centuro,82,,"Rs. 80,000"
Scouty Sale,37,,"Rs. 45,000"
Mahindra Centuro Rockstar,- ,,"Rs. 1,62,500"
Mahindra 2 Wheelers Centuro,- ,,"Rs. 1,73,500"
Excellent Condition Ko Rodeo 125,42,,"Rs. 65,000"
Mahindra Centuro,60,35000,"Rs. 1,00,000"
