Name,Lot No.,Kilometers,Price
Bmw G310 R White,07,3000,"Rs. 8,60,000"
Ducati Monster,46,11000,"Rs. 15,50,000"
Hyosung Rx125 Bike On Sale,46,,"Rs. 2,00,000"
Vintage Bike Bsa,1 ,,"Rs. 6,00,000"
Scomoto Dirt Bike,02,2500,"Rs. 2,35,000"
Scomoto Dirt Bike,02,2500,"Rs. 2,35,000"
Ducati Monster 796,46,10000,"Rs. 16,25,000"
Hyosung Bike (rt125d) For Sale,48,39000,"Rs. 2,20,000"
Ducati Monster 796,53,7800,"Rs. 18,25,000"
Ducati Monster,46,10000,"Rs. 14,00,000"
250cc Paraller Double Piston,14,,"Rs. 1,23,41,23,456"
Rieju Dirt Bike,57,20000,"Rs. 3,00,000"
Italiac Nevada 250 Crusier,1 ,679,"Rs. 4,30,000"
Italiac Nevada 250 Crusier,1 ,679,"Rs. 4,30,000"
Rieju Racing Edition Model,75,1200,"Rs. 3,90,000"
Hyosung Rt125d,48,,"Rs. 1,65,000"
Mv Agusta Brutale 1000 Serie Oro,Xx,,"Rs. 1,41,90,000"
Sym 300 Cc Scooter,94,5000,"Rs. 6,00,000"
Husqvarna 350 Fe,02,2000,"Rs. 18,00,000"
Harley Davidson Iron 883,- ,O,"Rs. 40,00,000"
Apollo Rx Orion 250,50,,"Rs. 1,39,000"
Beast~sale Or Exchange,03,5000,"Rs. 3,60,000"
Hanway Vbob 250,18,,"Rs. 7,00,000"
Aviator Scooter,86,15000,"Rs. 1,55,000"
Scomadi Scrambler 150,-,,"Rs. 3,60,000"
Scomadi Bike,78,4000,"Rs. 1,60,000"
Bajaj Discover 125 Cc (25 Lot),25,,"Rs. 15,000"
Bajaj Discover 125 Cc (25 Lot),25,,"Rs. 15,000"
Hanway Furious 150,01,,"Rs. 3,35,000"
Ducati Hypermotard 950 2019,4 ,2500,"Rs. 40,00,000"
Italjet On Sale,83,16000,"Rs. 2,50,000"
Ducati Hyper Motard,47,15000,"Rs. 20,00,000"
British Ace 400cc,75,No Ide,"Rs. 2,65,000"
Lifan Full Custom,13,,"Rs. 90,000"
Ducati Scrambler Desertsled Abs,11,20000,"Rs. 26,50,000"
Ducati Scrambler Desertsled Abs,11,20000,"Rs. 26,50,000"
Scomoto Hanway150cc Fresh Bike,12,5674,"Rs. 2,50,000"
Bike Bikrima,07,35200,"Rs. 1,80,000"
Ninja 300,67,22k,"Rs. 6,50,000"
Trek Marlin 7 Cycle,7 ,,"Rs. 65,000"
Dealim Vs,2,,"Rs. 50,000"
Hyosung Aqila Sale Or Exchange With Car,50,6000,"Rs. 4,50,000"
Ducati,80,8000,"Rs. 17,00,000"
Runner Dominator,- ,,"Rs. 3,84,000"
Harley Davidson Street 750,- ,0,"Rs. 23,00,000"
Cleveland Legend,3-,4000,"Rs. 3,60,000"
Lemoto Lrf 250 Bike Sale,94,"10,000","Rs. 3,20,000"
Bering Original Riding Jackets,00,00,"Rs. 20,000"
Runner Hawk 200,- ,,"Rs. 3,99,000"
Runner Hawk 200,- ,,"Rs. 3,99,000"
Scomadi Scrambler 150,95,,"Rs. 2,50,000"
Swm Silver Vase 440,- ,,"Rs. 14,60,000"
Italjet Bucaneer Bike On Sale,90,14100,"Rs. 3,70,000"
Bmw G 310 Gs White,- ,,"Rs. 11,15,000"
Swm Rs 300 R,- ,,"Rs. 16,00,000"
Runner Rodeo,- ,,"Rs. 4,69,000"
Gpx #legend 200,20,,"Rs. 4,63,700"
Gpx #legend 200,20,,"Rs. 4,63,700"
Bmw G310 R Black,- ,,"Rs. 9,50,000"
Mv Agusta Superveloce 800 Serie Oro,Xx,,"Rs. 84,90,000"
Runner (hawk 200),00,6850,"Rs. 2,60,000"
Rieju Marathon Pro On Sale,40,,"Rs. 1,65,000"
Ducati Scrambler Flat Track Pro,78,1600,"Rs. 24,00,000"
Harley Davidson Street Rod 750,- ,0,"Rs. 27,00,000"
Ducati Hyperstrada 821 (only 3 Piece In Nepal),61,8500,"Rs. 23,50,000"
Italzet Scooter,85,20000,"Rs. 1,45,000"
Kayo T4(dirtbike),11,4000,"Rs. 3,50,000"
Lemoto Lrf250 Urgent Sale,94,2500,"Rs. 3,50,000"
Italjet Buccaneer 250i (98 Lot),98,,"Rs. 3,70,000"
Electric Scooter,1,,"Rs. 50,000"
Scrambler250,7 ,6000,"Rs. 3,65,000"
Scrambler250,7 ,6000,"Rs. 3,65,000"
Mountains Cycle,02,,"Rs. 27,000"
Classic Bike,79,30,"Rs. 2,20,000"
Cleveland Misfit Gen2,00,0,"Rs. 5,67,000"
Swm Superdual 650,- ,,"Rs. 23,50,000"
Bmw G310 R White,- ,,"Rs. 9,75,000"
Pulsar220,59,,"Rs. 1,20,000"
Italjet - Insetto On Sale,07,9300,"Rs. 1,60,000"
Italjet - Insetto On Sale,07,9300,"Rs. 1,60,000"
Kawasaki Ninja 250,58,,"Rs. 3,70,000"
Gpx Gentlemen Racer 200,Na,,"Rs. 4,77,700"
Benling Electric Scooter,00,,"Rs. 70,000"
Bmw G310 R Red,- ,,"Rs. 9,50,000"
Runner Hawk,08,,"Rs. 3,15,000"
Lemoto Lrf250 Motard,94,5500,"Rs. 3,70,000"
Apache Rtr 160,89,20000,"Rs. 1,65,000"
Bmw G 310 Gs Red,- ,,"Rs. 10,90,000"
Brixton Crossfire 500 X,20,0000,"Rs. 11,99,999"
Gpx Gentleman 200,20,,"Rs. 4,83,700"
Gpx Razer 220,Na,,"Rs. 4,99,700"
39 Lot Vr On Sale,39,,"Rs. 1,18,000"
Italjet 250,85,9500,"Rs. 3,40,000"
Italjet 250,85,9500,"Rs. 3,40,000"
Dayang 125cc Dual Exhaust Fresh Bike On Sale Or Exchange With Scooter,14,22000,"Rs. 70,000"
Hawk Mh 200 On Sale,09,5000,"Rs. 2,50,000"
Bristish Ace,13,5500,"Rs. 5,25,000"
Kasaka 250,Na,,"Rs. 4,15,000"
Mahindra 64 Lot,64,30k,"Rs. 64,000"
Mv Agusta F4,Xx,,"Rs. 61,90,000"
Gpx Demon 150gn,20,,"Rs. 3,96,700"
Gpx Demon 150gn,20,,"Rs. 3,96,700"
Kasaka 200,Na,,"Rs. 3,95,000"
Italjet Buccaneer 250i,90,"12,000","Rs. 3,20,000"
Italjet Buccaner 250i,14,17000,"Rs. 3,80,000"
Fz Yamaha Fresh,46,,"Rs. 70,000"
Italjet Buccaneer 83 Lot On Sell,83,16/17k,"Rs. 3,50,000"
Cf Moto Nk150,16,7000,"Rs. 2,90,000"
Yuasa Battery For Super Bikes,00,,"Rs. 7,500"
Fully Fress,26,,"Rs. 55,000"
Italica Nevada 250 On Sale,05,13000,"Rs. 4,70,000"
Motrac Mx Efi,- ,,"Rs. 3,45,000"
Bmw G 310 Gs Black,- ,,"Rs. 10,90,000"
Kevler Scomadi Tl125 Scooter,78,20000,"Rs. 1,25,000"
Runner Knight Rider,- ,,"Rs. 2,45,000"
Runner Knight Rider,- ,,"Rs. 2,45,000"
Gpx Demon 150,18,,"Rs. 2,50,000"
Italjet Buccaneer 250i,16,,"Rs. 4,00,000"
Need Dio Scooter,90,,"Rs. 1,00,000"
Italica New Only Run 2000 Km,2 ,2000,"Rs. 4,50,000"
Italjet Buccaneer 250i,83,12000,"Rs. 3,60,000"
Runner Hawk Dirt For Sale,11,3800,"Rs. 3,05,000"
Cfmoto Nk 150 Showroom Condition,94,18000,"Rs. 1,80,000"
Cfmoto Nk 150 Showroom Condition,94,18000,"Rs. 1,80,000"
Hunter 350cc Sell Or Exchange,91,10000,"Rs. 2,50,000"
Sym Orbit Ii Sale,58,13000+,"Rs. 65,000"
Runner Hawk 200 Cc,6 ,9000,"Rs. 2,70,000"
Pulsar 200,71,21000,"Rs. 1,90,000"
Wanted : Hyosung Rt 150 Spare Parts,40,,"Rs. 1,000"
Scomoto Scrambler 250,01,,"Rs. 4,75,000"
Scrambler 250cc On Sale ! Limited Edition,02,2500,"Rs. 4,15,000"
Italjet 90 Lot,90,,"Rs. 3,50,000"
Mv Agusta Turismo Veloce 800,Xx,,"Rs. 57,90,000"
Um Reneged Commando 300 Cc,49,20000,"Rs. 3,20,000"
Gpx Legend 150,Na,,"Rs. 3,57,700"
Motrac M5 Efi,85,,"Rs. 3,35,000"
Italica,17,16,"Rs. 4,30,000"
Italica,17,16,"Rs. 4,30,000"
Bike Hawk200,19,2000,"Rs. 3,55,000"
Dtm 150 Sell And Exchange,51,,"Rs. 1,40,000"
Lemoto 125 Lot 90 White,90,,"Rs. 1,20,000"
Italijet On Sale,17,,"Rs. 3,50,000"
Trinx Big B-7,2,,"Rs. 60,000"
Mv Agusta F3 675,Xx,,"Rs. 43,90,000"
Apache Rtr 180cc,16,16400,"Rs. 2,20,000"
Apache Rtr 180cc,16,16400,"Rs. 2,20,000"
Runner Fireblade 165,- ,,"Rs. 3,25,000"
Cosmic Bike,22,16000,"Rs. 30,000"
Hyosung Rt 125 D,49,15k,"Rs. 2,22,222"
British Ace Motorcycle For Sale.,79,19000,"Rs. 4,00,000"
Italjet,85,18000,"Rs. 3,20,000"
Finance Facility For Brand New Bikes,19,,"Rs. 10,000"
Hornet - - 53000km Running--na 39 Lot Ko,39,53000,"Rs. 1,35,000"
Hyosung 650,50,14000,"Rs. 7,00,000"
Mv Agusta Brutale 800,Xx,,"Rs. 48,90,000"
Italijet Buccaneer 250,85,12000,"Rs. 3,60,000"
Mv Agusta Brutale 800 Rr Lh44,Xx,,"Rs. 73,90,000"
Sym Wolf 250 Sale Or Exchange,51,7000,"Rs. 3,50,000"
Motrac M5,- ,,"Rs. 2,90,000"
Motrac M5,- ,,"Rs. 2,90,000"
Runner Fireblade 125,- ,,"Rs. 2,65,000"
Scomadi Tl 125 Limited Edition,- ,,"Rs. 3,55,000"
Lemoto Scooter 125cc On Sale,90,1500,"Rs. 1,30,000"
