Name,Lot No.,Kilometers,Price
Suzuki Zixxer,32,48000,"Rs. 90,000"
Suzuki Gn 250 Cc (japnese Bike),9 ,,"Rs. 2,50,000"
Suzuki Gixxer Sf 150- Fi- Abs / Exchange Only,12,5000,"Rs. 3,20,000"
Gixxer 150,70,13200,"Rs. 1,50,000"
Extremely Fresh Suzuki Intruder 150 For Sale,00,3000,"Rs. 2,35,000"
Extremely Fresh Suzuki Intruder 150 For Sale,00,3000,"Rs. 2,35,000"
Japanese Suzuki Gn 125,1,,"Rs. 1,45,000"
Suzuki Gixxer With Free Ls2 Rapid,73,34000,"Rs. 1,50,000"
Suzuki Gsr 600 For Sale,38,6500,"Rs. 13,99,999"
Well Maintained Gixxer ..,67,,"Rs. 1,40,000"
Gsr 600 On Sale,33,14300,"Rs. 11,15,000"
Urgent Sell,82,13500,"Rs. 1,20,000"
Extreme Fresh Suzuki Gixxer 155 On Sale,91,18000,"Rs. 1,87,000"
Extreme Fresh Suzuki Gixxer 155 On Sale,91,18000,"Rs. 1,87,000"
Suzuki Gixxer,65,31500,"Rs. 1,20,000"
Suzuki Gixxer 250 (naked Version),. ,,"Rs. 4,65,900"
Suzuki Gixxer 150 (naked Version),. ,,"Rs. 3,25,900"
Brand New Bike On Sales,71,,"Rs. 1,35,000"
Gixxer Bike On Sale 150 - Fresh Condition,81,,"Rs. 1,65,000"
Suzuki Gixxer Sf 250 Motogp,Na,,"Rs. 5,01,900"
Almost Brand New Suzuki Gixxer On Sale,85,6000,"Rs. 2,20,000"
Gixxer 155,74,15000,"Rs. 1,70,000"
Suzuki 250cc (43 Lot) Made In Spain,43,8200,"Rs. 3,28,000"
Suzuki Intruder Urgent Sell,93,15000,"Rs. 1,60,000"
Suzuki Gixxer,6 ,900,"Rs. 3,05,000"
Gixxer Bike For Sale,70,33000,"Rs. 1,15,000"
Suzuki Gixxer 250 16 Lot (naked Version),16,1800,"Rs. 4,40,000"
Suzuki Gixxer 250 16 Lot (naked Version),16,1800,"Rs. 4,40,000"
Suzuki Intruder 150,- ,,"Rs. 3,29,900"
Suzuki Gsx 750,56,,"Rs. 7,25,000"
Suzuki Gixxer On Sale,14,273,"Rs. 3,00,000"
Suzuki 150cc,45,24000,"Rs. 1,30,000"
Sizuki Gixxer 155,84,14000,"Rs. 1,60,000"
Urgent Sell (gixxer),73,24500,"Rs. 1,45,000"
Suzuki Burgman 125,- ,,"Rs. 2,37,900"
Suzuki Burgman 125,- ,,"Rs. 2,37,900"
Fresh Gixer Double Disk,10,13000,"Rs. 1,90,000"
69 Lot Suzuki Gixer On Sale,68,,"Rs. 1,20,000"
Suzuki Gixxer 155,68,29000,"Rs. 1,15,000"
Suzuki Hayate 71 Lot,71,22000,"Rs. 75,000"
Gixxer 71 Lot,71,No Ide,"Rs. 1,19,000"
Suzuki Inazuma 250,57,16000,"Rs. 4,00,000"
Suzuki Gixxer 250 Naked(black) Perfect Condition,11,2800,"Rs. 4,20,000"
Suzuki Jixxer On Sale,64,25k,"Rs. 1,27,000"
Suzuki Gixxer (sp) - Dual Tone - Double Disc,-,,"Rs. 2,79,900"
Suzuki Access 125,79,13000,"Rs. 1,65,000"
Gyxcer,80,22000,"Rs. 1,45,000"
Suzuki Gixxer,71,26000,"Rs. 1,36,000"
Suzuki Gz 250cc (10 Lot Made In Japan),10,23400,"Rs. 90,000"
Suzuki Gz 250cc (10 Lot Made In Japan),10,23400,"Rs. 90,000"
Fresh Suzuki Gn,15,,"Rs. 1,00,000"
Suzuki Dr 200cc (41 Lot),41,29000,"Rs. 3,99,000"
Fresh Condition Suzuki Zixxer Bike On Sale...,73,,"Rs. 1,12,000"
Suzuki Burgman 125,16,3400,"Rs. 2,00,000"
Suzuki Access 125cc Disc. On Sale,96,7400,"Rs. 1,30,000"
66 Lot Gixxer On Sale,66,,"Rs. 98,000"
Suzuki Dr200,46,16998,"Rs. 5,75,000"
Suzuki Dr200,46,16998,"Rs. 5,75,000"
Suzuki Zixxer 65lot,65,33000,"Rs. 1,09,000"
Second Hand Swish Scooty,66,9800,"Rs. 75,000"
Suzuki Gixxer,34,40000,"Rs. 1,25,000"
Suzuki Gixxer Sf 250fi,Na,,"Rs. 4,98,900"
Suzuki Gz 250 Sale Or Exchange,11,19000,"Rs. 2,90,000"
68 Lot Gixxer On Sale,68,,"Rs. 1,07,000"
Suzuki Gixxer 155cc,07,14k,"Rs. 2,15,000"
Suzuki Gixxer 150 Fi Sf Mt Gp,Na,,"Rs. 3,81,900"
Fresh Suzuki Bike For Sale199k,95,19500,"Rs. 1,99,999"
Suzuki Gixer Sf 150 On Sale,82,35000,"Rs. 1,35,000"
Suzuki Gixxer 155,34,30k,"Rs. 1,30,000"
Gixxer Sf Sp For Sale,79,"30,000","Rs. 1,76,500"
Suzuki Gixxer Dt/dd New,- ,,"Rs. 2,83,900"
Suzuki Gixxer Dt/dd New,- ,,"Rs. 2,83,900"
Suzuki Gixxer 150r,3 ,9000,"Rs. 2,70,000"
Fresh One Hand Gixxer On Sell,74,23k,"Rs. 1,09,000"
One Hand Directly Call 9818090516,90,22000,"Rs. 1,90,000"
Suzuki 750p,01,,"Rs. 7,50,000"
Suzuki Gixer Sf,80,22000,"Rs. 1,75,000"
Suzuki Gixxer 155 Sp,46,32400,"Rs. 1,25,000"
Suzuki Gz150 Cruiser (6k Kms Only),61,6000,"Rs. 2,05,000"
Suzuki Gz150 Cruiser (6k Kms Only),61,6000,"Rs. 2,05,000"
Suzuki Gixxer 155 Dual Tone,24,72000,"Rs. 1,00,000"
Suzuki Access Scooter,33,9000,"Rs. 1,35,000"
Suzuki Gixxer Dt,- ,,"Rs. 2,77,900"
Gixxer Double Disk,15,3000,"Rs. 2,58,000"
Like New Gixxer Bike On Sale,52,29km,"Rs. 1,80,000"
83 Lot Suzuki Gixer On Sale,83,,"Rs. 1,50,000"
Suzuki Dr Trial Bike,51,,"Rs. 3,95,000"
Gixxer 66 Lot,66,,"Rs. 1,50,000"
Gixer Lot 68,68,24000,"Rs. 1,04,000"
Suzuki Gixxer Bike,68,,"Rs. 1,80,000"
Suzuki Gixxer On Sale Hurry Up,69,59k,"Rs. 1,30,000"
Suzuki Bike,62,,"Rs. 70,000"
Gixxer 155 Double Disc Bike For Sale,92,13000,"Rs. 2,10,000"
Gixxer 155 Double Disc Bike For Sale,92,13000,"Rs. 2,10,000"
Suzuki Access 125,-,,"Rs. 2,25,900"
Suzuki Access 30 Lot Disc Brake - Urgent Sell,30,24500,"Rs. 1,20,000"
Gs 150r,52,40000,"Rs. 85,000"
Sukuzi Bergman Needed,06,8000,"Rs. 1,50,000"
Suzuki Gixxer,8 ,25000,"Rs. 1,68,000"
Suzuki Gixxer,97,17000,"Rs. 1,75,000"
Suzuki Sling Shot 125,59,,"Rs. 70,000"
Suzuki Sling Shot 125,59,,"Rs. 70,000"
Gixxer 155,10,15000,"Rs. 2,20,000"
Suzuki Gixxer On Sale,93,19k +,"Rs. 1,80,000"
Suzuki Access 125,99,15000,"Rs. 1,45,000"
Scooty On Sale Suzuki,44,45,"Rs. 55,000"
Gixxer 155,47,9500,"Rs. 2,20,000"
Suzuki Gixxer Sf,75,26000,"Rs. 1,35,000"
Suzuki Gixxer,34,45092,"Rs. 1,60,000"
Suzuki Access 125 Cc For Sale,79,25000,"Rs. 1,65,000"
Urgent For Sale,97,12000,"Rs. 1,85,000"
Suzuki Gixxer Exchange,66,42000,"Rs. 1,50,000"
Suzuki Access 125,95,20000,"Rs. 1,18,000"
Suzuki Gixxersf 155 Cc,22,45000,"Rs. 1,80,000"
Suzuki Gixxer,7 ,4600,"Rs. 2,25,000"
Suzuki Gixxer,7 ,4600,"Rs. 2,25,000"
Gixxer 155 For Sale,02,270,"Rs. 2,95,000"
Suziki Gixxer Sale,90,13000,"Rs. 2,00,000"
Gixxer 150 On Sale,7 ,40000,"Rs. 1,39,000"
Suzuki Lets Dual Tone,- ,,"Rs. 1,95,900"
5years,74,33000,"Rs. 1,20,000"
Suzuki Hayate Ep (new),- ,,"Rs. 1,85,900"
Suzuki Dr 125cc (35 Lot),35,18700,"Rs. 2,89,000"
Suzuki Dr 125cc (35 Lot),35,18700,"Rs. 2,89,000"
68 Lot Black Fresh,68,30000,"Rs. 1,10,000"
Sukuzi Scooter Bikrima,59,,"Rs. 70,000"
Suzuki Gixxer,37,15654,"Rs. 1,60,000"
"Sizuki Gixxer 93 Lot,154.6cc Bike On Sale",93,19k+,"Rs. 1,80,000"
One Hand Suzuki Zixxer,83,27000,"Rs. 1,70,000"
Suzuki Bike On Sale,64,,"Rs. 72,000"
Suzuki Gsr 600,29,,"Rs. 10,00,000"
Gixer 69 Lot Single Hand Bike On Sell..,69,,"Rs. 1,28,000"
Suzuki Gixxer Bike On Sale At Biratngar | Itahari | Dharan,38,3000,"Rs. 2,00,000"
Suzuki Cruge 150cc,04,2000,"Rs. 2,50,000"
Gixxer,68,38000,"Rs. 85,000"
Suzuki 150 Gr Bike,58,69000,"Rs. 75,000"
71lot Fresh Gixer Urgent Sell Only 122thu,71,37478,"Rs. 1,22,000"
71lot Fresh Gixer Urgent Sell Only 122thu,71,37478,"Rs. 1,22,000"
Suzuki Gs150r,59,34000,"Rs. 1,10,999"
Suzuki Gz150a 61 Lot,61,,"Rs. 1,15,000"
Suzuki Gixxer Bike New Model Urgently Sale,71,35000,"Rs. 3,20,000"
Suzuki Let's Scooty On Sell,65,,"Rs. 73,000"
Suzuki Gixxer 67 Lot On Urgent Sale,67,30+,"Rs. 1,40,000"
Suzuki Gz150 Cruiser Lot 82,82,10500,"Rs. 1,50,000"
Suzuki Gixxer 150 73lot,73,,"Rs. 1,25,000"
Suzuki Gixxer 150 73lot,73,,"Rs. 1,25,000"
53 Lot Suzuki Swish Scooter 125 On Sale,53,30000,"Rs. 63,000"
Suzuki Gs 150 Good Condition Offiically Used,65,4000,"Rs. 80,000"
38 Lot Suzuki Gs 150r For Sale,38,,"Rs. 53,000"
Gixxer 103,10,20000,"Rs. 1,85,000"
Gixer 150 On Sale,75,,"Rs. 1,60,000"
Suzuki Gixxer 75 Lot,75,,"Rs. 1,35,000"
Sling Shot On Sale,62,,"Rs. 93,000"
Suzuki Gixxer Dashain Offer,72,25000,"Rs. 1,40,000"
Suzuki Gixer For Sell With X-change,74,,"Rs. 1,33,333"
