Name,Lot No.,Kilometers,Price
Renegade Sport 180cc,79,27000,"Rs. 95,000"
Fresh Condition 180 Renegade On Sell,65,20k,"Rs. 1,09,999"
Um Powermax Lx 125 On Sale Or Exchange,96,5600,"Rs. 1,05,000"
Renegade Sport 140cc,76,12000,"Rs. 1,15,000"
Um Renegade,85,21000,"Rs. 1,15,000"
Um Renegade,85,21000,"Rs. 1,15,000"
Exchange With Scooter,81,9k,"Rs. 1,234"
American Brand Um Renegade Bike On Sale..,76,,"Rs. 76,000"
Renegade,68,,"Rs. 1,10,000"
Fresh Bick On Sell,70,,"Rs. 1,80,000"
Um Dsr Ll 200cc (72 Lot),72,,"Rs. 1,58,000"
Um Dirt Bike,69,170000,"Rs. 1,85,000"
Um Renegade,73,25000,"Rs. 1,80,000"
Um Renegade,73,25000,"Rs. 1,80,000"
Um 200cc Dirt Bike,73,21000,"Rs. 1,85,000"
Um 142 Renegade On Sale,71,21000,"Rs. 1,20,000"
Um Dsr 2 250,1 ,15000,"Rs. 2,35,000"
Dsr Cross,84,13000,"Rs. 2,90,000"
Um Renegade Commando 300,- ,,"Rs. 6,14,000"
Um Bike Dsr 230,90,30000,"Rs. 2,05,000"
Um Dsr 250,06,17500,"Rs. 2,50,000"
Um Renegade Sports 180,- ,,"Rs. 2,99,000"
Um Renegade Sports S,- ,,"Rs. 6,22,000"
Um Hypersport 250,- ,,"Rs. 4,45,000"
Dsr Hypersport 250,85,16000,"Rs. 2,90,000"
Um Renegade Commando For Urgent Sale,13,18777,"Rs. 2,50,000"
Um Renegade Duty 125,- ,,"Rs. 2,38,000"
Um Renegade Duty 125,- ,,"Rs. 2,38,000"
Um Dsr-ll 200,- ,,"Rs. 4,00,000"
Um Renegade 300,90,11000,"Rs. 2,50,000"
Um Renegade 300,89,25000,"Rs. 2,50,000"
Um Renegade 150cc,84,6k,"Rs. 1,25,000"
Um Dsr-ll 250,- ,,"Rs. 4,35,000"
Um Dsr 200 94 Lot For Sale Or Exchange,94,18900,"Rs. 1,90,000"
Renegade Commando,83,21988,"Rs. 2,00,000"
Renegade Commando,83,21988,"Rs. 2,00,000"
Um Nitrox 125,- ,,"Rs. 1,88,000"
Cruiser Bike For Sale,96,12000,"Rs. 1,50,000"
Ranegade Commando Bike On Sell,96,30,"Rs. 2,20,000"
