Name,Lot No.,Kilometers,Price
Vespa 125,Pr,3000,"Rs. 2,20,000"
Vespa Vxl Elegante 150,86,7500,"Rs. 2,50,000"
Vespa Black,13,2268,"Rs. 2,30,000"
Vespa Vxl 125 Scooter On Excellent Condition For Sale,95,11000,"Rs. 3,00,000"
Vespa Italian Lt125-3v In Excellent Condition,68,12000,"Rs. 1,99,999"
Vespa Italian Lt125-3v In Excellent Condition,68,12000,"Rs. 1,99,999"
Vespa Scooter Sxl 125,78,11500,"Rs. 1,99,000"
Vespa Vxl 125 White,78,13290,"Rs. 1,80,000"
Vespa 67 2015,67,No Ide,"Rs. 1,39,000"
Urgent Hero Glamour Bike On Sale,03,35,"Rs. 90,000"
Urgent Sell Vespa Scooty 89lot,89,4980,"Rs. 2,25,000"
Vespa Sxl,87,15000,"Rs. 2,00,000"
Vespa Notte 125,Na,,"Rs. 2,64,946"
Vespa Notte 125,Na,,"Rs. 2,64,946"
Vespa Vxl 125 Cc,72,18706,"Rs. 1,45,000"
Vespa Sxl 150 For Urgent Sale,79,,"Rs. 2,25,000"
Vespa Scooty,95,14000,"Rs. 3,20,000"
Vespa Lx 125,- ,,"Rs. 2,64,946"
Vespa Elegante 150,87,5500,"Rs. 2,99,000"
Vespa Red & White,81,21000,"Rs. 1,60,000"
Vespa Sxl 125 Matt Black,75,17000,"Rs. 1,90,000"
Vespa 150 Slx Maat Dragon Red,15,950,"Rs. 3,50,000"
Vespa Lx,16,1800,"Rs. 2,45,000"
Vespa Vxl125sale/exchange Too,11,9500,"Rs. 2,50,000"
Vespa Lx 125 Notte,Na,,"Rs. 2,64,946"
Vespa On Sell,81,,"Rs. 2,20,000"
Vespa Vxl Elegante 150,- ,,"Rs. 3,95,946"
Vespa Vxl Elegante 150,- ,,"Rs. 3,95,946"
Scooter On Sale,87,17000,"Rs. 2,20,000"
Modified Vespa Sxl150 Matte Black,75,18000,"Rs. 1,75,000"
Arugent Bikrima Vxl 125,93,11812,"Rs. 1,99,000"
Urgent Sale Vespa(pink),89,16000,"Rs. 2,00,000"
Vespa Vxl 125,* ,900,"Rs. 3,10,000"
Vespa Sxl 150 Matt,- ,,"Rs. 3,75,946"
Maat Black Vespa Lx Model On Sale,96,7200,"Rs. 2,15,000"
Maat Black Vespa Lx Model On Sale,96,7200,"Rs. 2,15,000"
Vespa,79,,"Rs. 2,10,000"
"Urgent 92 Lot Vespa Scooty On Sale, 2017",92,7000,"Rs. 2,15,000"
Vespa Urgent Sale,5 ,19000,"Rs. 2,99,999"
Vespa 125,16,4600,"Rs. 2,00,000"
Vespa Vxl 150cc (94 Lot),94,7400,"Rs. 2,24,000"
Vespa For Sale,71,,"Rs. 1,65,000"
Vespa Vxl On Sale,75,20000,"Rs. 2,15,000"
New Vespa,04,,"Rs. 2,20,000"
Scooter,85,,"Rs. 3,00,000"
Vespa Vxl 125,- ,,"Rs. 3,14,946"
Vespa Sxl 150cc On Sale.,79,23000,"Rs. 2,10,000"
Vespa Vxl 150 Green 79 Lot,79,,"Rs. 1,99,000"
99 Lot Aprilla 150 On Sale,99,16000,"Rs. 2,05,000"
99 Lot Aprilla 150 On Sale,99,16000,"Rs. 2,05,000"
Vespa Sxl,12,22134,"Rs. 1,80,000"
Vespa Sxl 125,- ,,"Rs. 3,28,946"
Vespa 150 Matte,88,9000,"Rs. 2,65,000"
Vespa 150 Vxl On Seal,87,16782,"Rs. 1,85,000"
Vespa Sxl 125 Matt,- ,,"Rs. 3,30,946"
Vespa Vxl 150,- ,,"Rs. 3,57,946"
Vespa Sxl 150,- ,,"Rs. 3,73,946"
Vespa Sxl 150,- ,,"Rs. 3,73,946"
Vespa,38,5000,"Rs. 2,70,000"
Aprilla Sr 125 Is Sale On Pokhara,15,13000,"Rs. 1,85,000"
Vespa 125cc- Orange Sx,70,6080,"Rs. 2,25,000"
Scooty Fashino,12,700,"Rs. 2,20,000"
Vespa Vxl 150 On Urgent Sale,94,11272,"Rs. 2,40,000"
72 Lot Brandnew Like Vespa For Sale,72,17,"Rs. 1,85,000"
Vespa (72) Scooty On Sell,72,17901,"Rs. 1,68,000"
Vespa 125,93,14000,"Rs. 2,20,000"
91 Lot Vespa Vxl 125cc,91,19k,"Rs. 1,75,000"
150 Vxl Vespa On Urgent Sale,87,20000,"Rs. 1,99,000"
Vespa Sxl 150,92,,"Rs. 2,50,000"
88 Lot Vespa Vxl 125 Cc On Sale,88,,"Rs. 2,10,000"
