Name,Lot No.,Kilometers,Price
R15 V3,03,12050,"Rs. 3,09,000"
R15 V3 Monster Edition,09,7000,"Rs. 3,99,900"
R15 V2,51,,"Rs. 90,000"
Fz250,96,14000,"Rs. 2,45,000"
Yamaha Fz 250 006 Lot For Sell,06,20,"Rs. 2,90,000"
Yamaha Fz 250 006 Lot For Sell,06,20,"Rs. 2,90,000"
Mt 15 Yamaha On Sell,09,10700,"Rs. 3,75,000"
Fzs,62,,"Rs. 92,000"
Motorcycle,97,20000,"Rs. 2,15,000"
Yamaha Fz-s V3 (urgent Sale),6 ,3500,"Rs. 2,75,000"
Old Yamaha Enticer,18,111,"Rs. 10,000"
Fzs V2 On Sale 76 Lot,76,,"Rs. 1,55,000"
R15 V3 Dual Abs,7 ,10000,"Rs. 3,65,000"
R15 V3 Dual Abs,7 ,10000,"Rs. 3,65,000"
Rx 100,6,,"Rs. 1,00,000"
Scooter,65,15000,"Rs. 75,000"
Yamaha R15 V3 In Blue,05,12000,"Rs. 3,30,000"
R15 Only For Parts,59,34000,"Rs. 10,000"
Fzs V2 Special Edition Mate Black,92,,"Rs. 1,95,000"
Yamaha Xj6n,46,,"Rs. 13,00,000"
Yamaha R15 V1,17,,"Rs. 80,000"
Fresh Yamaha Bikes Saluto & Ray Z Scooters Are For Sale.,97,5000,"Rs. 1,25,000"
Yamaha R3,05,3100,"Rs. 8,00,000"
Yamaha Fzs V2,66,32000,"Rs. 1,30,000"
Fresh Fz 250 For Sale,87,26900,"Rs. 2,40,000"
Fz Bike On Sale,02,,"Rs. 1,15,000"
Yamaha Yzf R3,79,16000+,"Rs. 6,20,000"
Yamaha Yzf R3,79,16000+,"Rs. 6,20,000"
Yamaha Xtz 125 Is On Sale Lika A New Hurry Up!,04,12000,"Rs. 2,75,000"
Fz 150,66,22000,"Rs. 1,45,000"
Fz-s V2,68,44k,"Rs. 1,30,000"
R15 V1,30,,"Rs. 75,000"
Yamaha R3 Dragon Edition Like New,79,8500,"Rs. 8,25,000"
Fresh Yamaha Fzs-fi Grey On Sale,91,,"Rs. 2,00,000"
Rx 100,Lu,,"Rs. 1,10,000"
Rx 100,Lu,,"Rs. 1,10,000"
Yamaha Mt 15,-,,"Rs. 4,34,900"
R15 V1 Red Colour Fresh Body Engine At 80000,46,,"Rs. 80,000"
Fz 250 Dual Abs,11,1800,"Rs. 3,80,000"
Fz 250 89 Lot On Sale,89,34000,"Rs. 2,10,000"
R15 V3,01,10000,"Rs. 3,20,000"
Fz-250 White On Sell Fresh Bike!,33,1000,"Rs. 3,00,000"
R15 V2 On Sale,53,11000,"Rs. 1,15,000"
Fzs V2 Fi,87,24000,"Rs. 1,90,000"
Mt 15,13,4500,"Rs. 3,95,000"
